Time,Latitude,Longitude,counts
1746053221.31,0,0,61.0
1746053223.29,0,0,61.0
1746053225.31,0,0,66.0
1746053227.31,0,0,48.0
1746053229.31,0,0,81.5
1746053231.31,0,0,108.0
1746053233.3,0,0,108.0
1746053235.31,0,0,120.5
1746053237.31,0,0,124.0
1746053239.31,0,0,92.0
1746053241.29,0,0,92.0
1746053243.31,0,0,91.0
1746053245.31,0,0,102.5
1746053247.31,0,0,80.5
1746053249.31,0,0,79.5
1746053251.31,0,0,79.5
1746053253.32,0,0,88.5
1746053255.31,0,0,94.5
1746053257.31,0,0,92.5
1746053259.31,0,0,115.5
1746053261.31,0,0,115.5
1746053263.31,0,0,129.5
1746053265.31,0,0,190.0
1746053267.31,0,0,213.0
1746053269.3,0,0,213.0
1746053271.32,0,0,224.0
1746053273.31,0,0,185.0
1746053275.31,0,0,215.5
1746053277.31,0,0,195.0
1746053279.29,0,0,195.0
1746053281.31,0,0,211.5
1746053283.31,0,0,171.5
1746053285.31,0,0,154.0
1746053287.31,0,0,164.5
1746053289.3,0,0,164.5
1746053291.31,0,0,119.5
1746053293.31,0,0,117.0
1746053295.31,0,0,130.5
1746053297.28,0,0,130.5
1746053299.31,0,0,132.0
1746053301.31,0,0,206.5
1746053303.31,0,0,167.0
1746053305.29,0,0,167.0
1746053307.31,0,0,147.5
1746053309.31,0,0,129.5
1746053311.31,0,0,139.0
1746053313.29,0,0,139.0
1746053315.31,0,0,143.0
1746053317.31,0,0,144.5
1746053319.31,0,0,148.0
1746053321.31,0,0,142.5
1746053323.29,0,0,142.5
1746053325.31,0,0,139.5
1746053327.31,0,0,137.5
1746053329.31,0,0,134.5
1746053331.31,0,0,149.0
1746053333.3,0,0,149.0
1746053335.31,0,0,152.0
1746053337.31,0,0,208.5
1746053339.32,0,0,447.5
1746053341.28,0,0,447.5
1746053343.31,0,0,1301.5
1746053345.31,0,0,1490.5
1746053347.31,0,0,1562.0
1746053349.32,0,0,1575.0
1746053351.29,0,0,1575.0
1746053353.31,0,0,1602.5
1746053355.31,0,0,1541.5
1746053357.31,0,0,1570.0
1746053359.31,0,0,1501.0
1746053361.28,0,0,1501.0
1746053363.31,0,0,1560.5
1746053365.31,0,0,1485.5
1746053367.31,0,0,1573.0
1746053369.3,0,0,1573.0
1746053371.31,0,0,1504.5
1746053373.31,0,0,1602.5
1746053375.31,0,0,1392.5
1746053377.31,0,0,1624.5
1746053379.3,0,0,1624.5
1746053381.31,0,0,1377.5
1746053383.31,0,0,1533.0
1746053385.31,0,0,1471.5
1746053387.31,0,0,1627.0
1746053389.3,0,0,1627.0
1746053391.31,0,0,1511.0
1746053393.31,0,0,1604.0
1746053395.31,0,0,2117.5
1746053397.29,0,0,2117.5
1746053399.31,0,0,4446.0
1746053401.31,0,0,4733.0
1746053403.31,0,0,4793.0
1746053405.31,0,0,4663.5
1746053407.28,0,0,4663.5
1746053409.31,0,0,4762.5
1746053411.31,0,0,4553.5
1746053413.31,0,0,4710.5
1746053415.31,0,0,4603.0
1746053417.3,0,0,4603.0
1746053419.31,0,0,4655.0
1746053421.31,0,0,4569.0
1746053423.31,0,0,4751.0
1746053425.29,0,0,4751.0
1746053427.31,0,0,4676.0
1746053429.31,0,0,4682.5
1746053431.31,0,0,4636.0
1746053433.31,0,0,4677.5
1746053435.29,0,0,4677.5
1746053437.31,0,0,4705.5
1746053439.31,0,0,4725.0
1746053441.31,0,0,4701.5
1746053443.31,0,0,4761.0
1746053445.29,0,0,4761.0
1746053447.31,0,0,4652.0
1746053449.31,0,0,4881.0
1746053451.31,0,0,4643.0
1746053453.29,0,0,4643.0
1746053455.31,0,0,4764.0
1746053457.31,0,0,4644.5
1746053459.31,0,0,4771.5
1746053461.31,0,0,4656.0
1746053463.29,0,0,4656.0
1746053465.31,0,0,4741.0
1746053467.31,0,0,4670.5
1746053469.31,0,0,4754.0
1746053471.31,0,0,4617.5
1746053473.3,0,0,4617.5
1746053475.31,0,0,4686.0
1746053477.31,0,0,4614.0
1746053479.31,0,0,4641.5
1746053481.33,0,0,4715.5
1746053483.29,0,0,4715.5
1746053485.31,0,0,4576.5
