Time,Latitude,Longitude,counts
1746065914.82,37.87249114077161,-122.23807254388358,51.5
1746065916.82,37.87249114077161,-122.23807254388358,56.5
1746065918.79,37.87249114077161,-122.23807254388358,56.5
1746065920.83,37.87249114077161,-122.23807254388358,56.0
1746065922.82,37.87249114077161,-122.23807254388358,53.5
1746065924.82,37.87249114077161,-122.23807254388358,48.5
1746065926.82,37.87249114077161,-122.23807254388358,43.0
1746065928.79,37.87249114077161,-122.23807254388358,43.0
1746065930.82,37.87249114077161,-122.23807254388358,55.5
1746065932.82,37.87249114077161,-122.23807254388358,56.0
1746065934.82,37.87249114077161,-122.23807254388358,54.0
1746065936.8,37.87249114077161,-122.23807254388358,54.0
1746065938.82,37.87249114077161,-122.23807254388358,48.0
1746065940.82,37.87249114077161,-122.23807254388358,51.5
1746065942.82,37.87249114077161,-122.23807254388358,49.5
1746065944.82,37.87249114077161,-122.23807254388358,50.0
1746065946.81,37.87249114077161,-122.23807254388358,50.0
1746065948.82,37.87249114077161,-122.23807254388358,64.5
1746065950.83,37.87249114077161,-122.23807254388358,56.5
1746065952.82,37.87249114077161,-122.23807254388358,66.5
1746065954.82,37.87249114077161,-122.23807254388358,64.0
1746065956.82,37.87249114077161,-122.23807254388358,64.0
1746065958.82,37.87249114077161,-122.23807254388358,52.5
1746065960.82,37.87249114077161,-122.23807254388358,57.5
1746065962.82,37.87249114077161,-122.23807254388358,60.0
1746065964.8,37.87249114077161,-122.23807254388358,60.0
1746065966.82,37.87249114077161,-122.23807254388358,65.5
1746065968.82,37.87249114077161,-122.23807254388358,49.0
1746065970.82,37.87249114077161,-122.23807254388358,57.5
1746065972.82,37.87249114077161,-122.23807254388358,60.0
1746065974.8,37.87249114077161,-122.23807254388358,60.0
1746065976.82,37.87249114077161,-122.23807254388358,60.0
1746065978.82,37.87249114077161,-122.23807254388358,62.5
1746065980.82,37.87249114077161,-122.23807254388358,62.0
1746065982.82,37.87249114077161,-122.23807254388358,56.0
1746065984.82,37.87249114077161,-122.23807254388358,56.0
1746065986.82,37.87249114077161,-122.23807254388358,68.5
1746065988.82,37.87139187627062,-122.23866160552822,67.5
